Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-06-29 11:36:32,false,"Austin Running","5.00","708","00:54:25","158","181","3.6","145","198","10:53","8:26","107","88","1.02","0.0","0.0","0","10:52","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","89.6","0:00","No","02:51.85.4","6","0.0","35","19","41","00:54:21","00:55:05","460","554"
Running,2022-06-28 16:36:29,false,"Austin - Base","4.02","569","00:42:27","159","172","3.6","143","212","10:33","6:22","90","113","1.07","0.0","0.0","0","10:34","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","00:15.93.4","5","0.0","35","19","40","00:42:10","00:44:27","439","539"
Running,2022-06-26 08:39:09,false,"Austin - Sprint","3.57","502","00:44:10","150","180","3.1","117","219","12:22","3:36","174","151","1.10","0.0","0.0","0","12:24","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","82.4","0:00","No","00:15.00","15","0.0","32","22","43","00:43:59","00:44:10","490","545"
Running,2022-06-26 08:34:04,false,"Austin Running","0.29","39","00:02:58.6","146","157","0.9","140","209","10:26","8:56","5","--","1.10","0.0","0.0","0","10:23","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","00:01.07.2","3","0.0","33","28","35","00:02:58.2","00:02:59.5","495","504"
Running,2022-06-26 08:26:14,false,"Austin - Sprint","0.73","92","00:07:04.1","143","153","2.0","149","157","9:39","9:04","--","34","1.12","0.0","0.0","0","9:50","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","00:02.21.1","2","0.0","30","19","34","00:07:03.8","00:07:05.9","501","539"
Running,2022-06-22 11:36:45,false,"Austin - Base","4.97","729","00:57:07","162","176","3.4","140","233","11:30","8:59","115","83","1.00","0.0","0.0","0","11:28","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","87.8","0:00","No","02:20.94","6","0.0","35","24","44","00:56:31","00:57:12","332","432"
Running,2022-06-19 09:04:13,false,"Austin Running","8.01","1,161","01:29:47","164","183","4.3","141","206","11:13","7:29","378","234","1.02","0.0","0.0","0","11:11","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","00:06.99.1","9","0.0","37","18","46","01:29:31","01:31:26","374","567"
Running,2022-06-16 17:20:04,false,"Austin - Base","3.21","482","00:32:27","175","189","4.0","136","155","10:06","7:46","63","66","1.17","0.0","0.0","0","10:03","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","91.4","0:00","No","02:34.90.2","4","0.0","37","26","44","00:32:17","00:32:27","370","439"
Running,2022-06-15 12:17:14,false,"Austin - Recovery","4.01","583","00:44:56","160","188","3.5","138","212","11:12","6:15","110","113","1.04","0.0","0.0","0","11:14","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","02:54.19","5","0.0","33","19","45","00:44:51","00:48:20","453","538"
Running,2022-06-08 11:53:44,false,"Austin Running","5.00","787","00:58:41","164","178","3.9","136","216","11:44","6:04","264","270","0.99","0.0","0.0","0","11:40","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","86.0","0:00","No","10:39.10.4","5","0.0","37","16","46","00:57:52","00:58:41","514","594"
Running,2022-06-07 17:12:16,false,"Austin Running","4.00","651","00:47:04","170","186","4.1","133","219","11:46","7:41","210","191","1.07","0.0","0.0","0","11:44","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","91.4","0:00","No","01:04.47.7","8","0.0","37","21","43","00:44:03","00:47:05","201","540"
Running,2022-06-07 17:11:47,false,"Running","0.00","--","00:00:01.2","112","112","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","89.6","0:00","No","00:01.24.6","1","0.0","--","--","--","00:00:00","00:00:01.2","438","438"
Running,2022-06-02 08:48:16,false,"San Diego Running","2.89","412","00:30:52","150","168","3.2","142","206","10:42","6:51","269","277","1.06","0.0","0.0","0","10:31","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","66.2","0:00","No","09:11.28.9","3","0.0","--","--","--","00:30:18","00:33:07","102","295"
Running,2022-06-01 08:37:20,false,"San Diego Running","4.28","588","00:42:16","158","180","3.9","141","227","9:52","6:44","103","95","1.15","0.0","0.0","0","10:08","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","69.8","0:00","No","05:16.27.3","5","0.0","--","--","--","00:41:33","00:47:02","20","120"
Running,2022-05-31 08:47:43,false,"San Diego Running","4.95","711","00:53:53","157","182","3.7","139","230","10:53","7:07","500","494","1.06","0.0","0.0","0","10:38","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","69.8","0:00","No","00:52.14.1","6","0.0","--","--","--","00:53:01","01:00:29","64","300"
Running,2022-05-25 11:55:23,false,"Austin Running","2.72","397","00:31:31","156","172","3.1","143","205","11:35","7:40","138","138","0.97","0.0","0.0","0","11:32","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","75.2","0:00","No","00:02.12.8","4","0.0","35","18","40","00:31:05","00:31:34","520","596"
Running,2022-05-25 11:39:35,false,"Austin Running","1.29","177","00:13:57","151","170","2.4","147","157","10:49","9:29","45","73","1.01","0.0","0.0","0","10:48","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","78.8","0:00","No","00:02.28.9","3","0.0","30","19","38","00:13:56","00:13:58","488","539"
